title,description
How COVID-19 blew up the Doug Ford government's budget,Ontario’s 2020-21 spending plan makes optimistic assumption that economy won’t shrink this year,2020-03-25,CBC
Trade war darkens economic forecasts for Canada,"National Bank, Bank of America Merrill Lynch cut growth forecasts for 2019",2019-06-04,CBC
Sonia Furstenau announces she's running for leader of B.C. Green Party,Cowichan Valley MLA is 1 of 2 remaining Green Party representatives in the legislature,2020-01-27,CBC
Record 18 million passengers flew in and out of Calgary airport in 2019,Uptick in travellers came despite grounding of Boeing 737 Max planes,2020-01-24,CBC
NATO defence ministers take stock of pandemic's economic toll on national budgets,,2020-04-15,CBC
'This is not a new story': ATB report shows economic growth stalled in Alberta,'We're not expecting a recession ... but we are seeing essentially a stalled economy',2019-09-10,CBC
N.W.T. and Nunavut Chamber of Mines says industry to meet with feds soon,The N.W.T. and Nunavut Chamber of Mines says federal COVID-19 subsidy program does not work for industry,2020-04-14,CBC
U.S. Federal Reserve leaves rates near zero as COVID-19 savages U.S. economy,Economists forecast sharpest downturn in U.S. history this quarter,2020-04-29,CBC
"Alberta faces 'mild recession in 2019' due largely to pipeline uncertainty, Conference Board forecasts","Economic contraction of 0.8% 'not nearly as severe as the 2015-16 recession,' with recovery in 2020",2019-08-20,CBC
U.S. Federal Reserve leaves rates near zero as COVID-19 savages U.S. economy,Economists forecast sharpest downturn in U.S. history this quarter,2020-04-29,CBC
"Budget watchdog slashes economic growth projections, partly blames coronavirus","Coronavirus could shave 0.3% off Canada's first quarter economic-growth, says PBO",2020-02-13,CBC
Quebec government under fire for ignoring COVID-19 impact in new budget,"Premier says government will intervene if necessary, but current spending enough to deal with outbreak",2020-03-11,CBC
India's COVID-19 lockdown is among the strictest in the world but has yet to slow the spread,"Phase 2 of India's lockdown includes some loosening of restrictions, but much of the economy remains shut down",2020-04-20,CBC
Alberta government looking at low interest credit for struggling oil and gas companies,Jason Kenney says he's spoken with federal government about contributing funds,2020-03-12,CBC
"Hello, Dolly! This St. John's startup had a role in country superstar's viral meme","If you've seen the #DollyPartonChallenge online, you've got HeyOrca to thank",2020-01-30,CBC
Andrew Scheer torques study in claim about the new NAFTA deal,"Conservative leader's interpretation 'not accurate,' says economist",2019-08-02,CBC
Sask. government's carbon tax study analysis 'didn't pass most basic of sniff tests': economist,Economist was co-author of a study the province chose not to release,2019-06-08,CBC
Andrew Scheer torques study in claim about the new NAFTA deal,"Conservative leader's interpretation 'not accurate,' says economist",2019-08-02,CBC
Sask. government's carbon tax study analysis 'didn't pass most basic of sniff tests': economist,Economist was co-author of a study the province chose not to release,2019-06-08,CBC
Japan preparing to declare state of emergency to COVID-19 fight,"Month-long state of emergency expected to cover Tokyo, Osaka, Fukuoka and 4 other hard-hit prefectures",2020-04-06,CBC
"At least 58 migrants dead after boat capsizes off Mauritania, UN agency says",Incident is one of the deadliest this year for migrants trying to make it to Europe,2019-12-05,CBC
"NAFTA to come up during Trudeau, Trump meeting at NATO",U.S. likely to press Canada to increase military spending during summit sideline chat,2019-12-03,CBC
"NAFTA to come up during Trudeau, Trump meeting at NATO",U.S. likely to press Canada to increase military spending during summit sideline chat,2019-12-03,CBC
Sask. Premier Moe 'disappointed' after meeting with Prime Minister Trudeau,"Moe said no commitment on new pipelines, amendments to equalization formula",2019-11-12,CBC
Bank of Canada and the U.S. Fed have very different worries: Don Pittis,"Canada sees risk but holds rate steady, while U.S. cuts rates to provide 'insurance'  ",2019-10-31,CBC
Alberta ended 2019 with more job losses and 'mild recession': reports,Conference Board says province should return to economic growth in 2020 and 2021 ,2020-02-27,CBC
Business sentiment improves after downturn early in year,"Global trade tensions, weakness in oilpatch still hang over Canadian outlook",2019-06-28,CBC
Coronavirus: What's happening in Canada and around the world May 13,Concerns raised about reopening Que. and Ont.; parts of Alta. to relaunch Thursday,2020-05-14,CBC
New Brunswick projects $88.1M surplus for 2019-20 fiscal year,2nd-quarter results project net debt will dip below $14B by fiscal year end,2019-11-15,CBC
Get informed on the top stories of the day in one quick scan,,2020-04-16,CBC
Alberta looks to private sector and pipelines to deliver better times,Kenney government reveals 'ambitious' plan for economic growth ,2019-10-25,CBC
Get informed on the top stories of the day in one quick scan,,2020-04-16,CBC
Alberta looks to private sector and pipelines to deliver better times,Kenney government reveals 'ambitious' plan for economic growth ,2019-10-25,CBC
Conservation Council recommends more local food security as part of COVID-19 recovery plan,"Group also calls for more protection of natural areas and more reliable, affordable electricity system ",2020-04-24,CBC
Bowman backs cities' request to feds for up to $15B for COVID-19 budget relief,"Winnipeg finances relatively OK, but mayor says 'we're not immune to the crisis facing municipalities'",2020-04-24,CBC
"Manitoba's premier says province has the highest debt in the country. Not so, says CIBC economist",Premier Brian Pallister has repeatedly said debt burden is one of the reasons for cost-cutting,2020-04-24,CBC
Cities ask Liberals for up to $15B in emergency funding to stave off COVID-19 budget crisis,'Buck stops with the federal government' to help municipalities,2020-04-24,CBC
This pandemic is redefining what qualifies as a political 'crisis',"On Friday, the federal government reversed itself on some core policy — and no one even remarked on it",2020-03-21,CBC
All eyes on Canadian jobs numbers as election heads into 5th week: Don Pittis,"Still few signs of Canadian recession, but this week's data may tell us more",2019-10-08,CBC
Promising back-to-back deficits isn't political suicide in Canada anymore,The Conservatives' softer line on budgets shows the deficit isn't a burning issue for many voters,2019-10-02,CBC
