title,description
"TSX, Dow rise at close of worst quarter since 2011",Stock markets are at a two-year low and investors are looking for bargains,2015-09-30,CBC
"Oil slides below $48, dragging TSX down another 145 points",Crude price now down more than 55% from recent highs,2015-01-06,CBC
Stock markets slip as oil slumps,,2016-02-19,CBC
"TSX down 10% since September, an official correction",Mining and energy companies take a hit,2014-10-14,CBC
TSX and Dow plunge again on fears of China-led slowdown,Dow in correction territory as investors hit 'sell' button,2015-08-22,CBC
"Canadian dollar above 78 cents after oil, metals move higher",Toronto stocks at 10-month high as commodity prices improve,2016-06-06,CBC
Bull market still running 6 years after stocks hit 2009 low,"U.S. stocks continue higher on strong corporate earnings, consumer confidence",2015-03-09,CBC
"Canadian dollar rises, stocks jump on news of TPP trade deal",Oil makes gains as U.S. dollar outlook dims because of perception Fed will wait on rate hikes,2015-10-06,CBC
"TSX closes in bear market territory amid plunging oil, stock prices",Benchmark Toronto index closes more than 20% below September 2014 peak,2016-01-08,CBC
"TSX, Dow head lower after Shanghai stock exchange dives 8%",Chinese stocks have biggest 1-day drop since 2007 despite Beijing's intervention in market,2015-07-27,CBC
Another 13 stocks dropped from TSX benchmark index,,2002-12-14,CBC
Loonie beats back bears to top 74 cents US in 'Revenant-like' performance,Stocks head higher on corporate results and better-than-expected GDP news,2016-03-01,CBC
TSX rises as gold sector gets a boost from bargain-hunters,"S&P nears record, Dow edges higher in quiet day of trading",2014-11-11,CBC
Medical marijuana producer could soon be on TSX,"Tweed Inc. of Smiths Falls, Ont.,  awaits Health Canada approval to produce medical marijuana",2014-01-08,CBC
TSX closes down 360 points as oil trades below $50 a barrel,Canadian dollar trades below 85-cent mark,2015-01-06,CBC
TSX down 329 points as oil slumps to new multiyear lows,Morgan Stanley predicts oil prices could drop to $43 US a barrel next year,2014-12-09,CBC
"TSX will beat U.S. stock markets this year, CIBC says","Earnings growth predicted to be almost twice as good than that of S&P, Dow",2014-01-14,CBC
Volatile stock markets seesaw after Chinese stocks tank again,Dow halts six-day slide and rallies to 600-point gain,2015-08-27,CBC
OSC seeks to beef up whistleblower program with cash rewards up to $1.5M,"U.S. offers large payouts for information, but programs in Canada are just getting started",2015-06-09,CBC
Ottawa-based Mitel Networks Corp. lists on the TSX,,2012-06-27,CBC
