title,description
'Dear Mr Mayor' 9-year-old makes handwritten pitch to solve London's housing crisis,"'I am 9 years old and I want to make a change,' the child writes to Mayor Ed Holder",2020-01-10,CBC
"It's a seller's market, but the London region's housing inventory is down",LSTAR says that housing inventory is down 50 per cent compared to five years ago,2019-10-15,CBC
London population growth rate among fastest in Canada,Forest city's population growth rate last year second only to Kitchener-Waterloo,2020-02-18,CBC
Charlottetown house prices pushing point of 'being inaccessible','If the worst case scenario comes out he will be 70 years old before his house is fully paid off',2019-08-02,CBC
"Home sales continue to rise after record low early this year, CREA reports","Average price up 5.5% from year ago, up 3.3% outside Toronto, Vancouver",2019-10-15,CBC
Conservative millennials lay out a policy wish list for the party,"To attract younger voters, millennials say the party must embrace diversity and tackle poverty",2020-02-02,CBC
Stratford accepting applications for affordable housing project,35 units will available priced at 80 per cent of the local average market rent,2019-07-06,CBC
Lack of affordable housing on Vancouver Island forces family to sleep in a tent and a van,'I don’t know how anyone could hear that story and not be heartbroken': Singh,2019-09-27,CBC
"CMHC sees 'moderate overvaluation' in Canada's housing market, but little vulnerability overall","Quarterly report finds pockets of concern, but overall lower level of risk",2019-08-02,CBC
Nearly 1 in 10 homes sold in Waterloo region cities either flipped or rented out: study,"Kitchener saw most short-term sale and investment activity, report says",2019-08-15,CBC
Lack of affordable housing on Vancouver Island forces family to sleep in a tent and a van,'I don’t know how anyone could hear that story and not be heartbroken': Singh,2019-09-27,CBC
"Increased condo sales leading Saskatoon towards balanced market, realtor says","Royal LePage says home sales have increased 7 per cent from last year, leading to stable market",2019-10-10,CBC
"Calgary housing market among the most affordable in Canada, report says","'If you are the median income earner, there are options for you'",2019-09-26,CBC
"'Recessionary conditions' pushing home prices lower in B.C., report says","Median price projected to be 4.1% lower in 2019, marking 1st decline in 7 years",2019-05-28,CBC
"Ottawa watching food supply chain 'very, very carefully' after Alberta outbreak",Beef prices could go up but Trudeau says he doesn't anticipate a domestic shortage,2020-04-21,CBC
Big banks promise mortgage help for Canadians as Ottawa set to announce $25B in COVID-19 relief,"Mortgage, rent help could be part of federal package to be announced Wednesday ",2020-03-18,CBC
Housing in Yukon: An election issue with no clear solution,"'It's a community problem and we all need to be a part of the solution,' says Kwanlin Dün Chief Doris Bill",2019-10-20,CBC
15 new affordable units give Victoria seniors chance to be more independent,Housing agency says older people are getting priced out of the housing market and ending up in shelters,2019-11-07,CBC
Whitehorse residents paint picture of what dismal rental market looks like,"Median price for renting in Whitehorse is $1,050 a month, according to Yukon Bureau of Statistics",2019-07-28,CBC
Proposed tenant eviction rules coming too late for these P.E.I. renters,'People are getting put out of their homes',2020-02-28,CBC
Harsh winter cools Sudbury's real estate market,"In some aspects it's cheaper to own a home than rent, Real Estate Board says",2019-08-19,CBC
BC Transit reduces service in Kitimat due to staffing shortages caused by LNG recruitment,'There's certain things that they offer that we just can't compete with',2020-01-24,CBC
"'We were ignored,' housing group says after IRAC announces allowable rent increase","'Tenants, want zero to a very modest increase. And landlords typically ask for between two and five per cent'",2019-09-23,CBC
Apple sets aside $2.5B to help address California's housing supply crunch,"In addition to donating to nonprofit funds, Apple to make 42 acres available for nonprofit housing",2019-11-04,CBC
