"Labour force characteristics by sex and detailed age group, monthly, unadjusted for seasonality (x 1,000)" 1
"Monthly"
"Table: 14-10-0017-01 (formerly CANSIM 282-0001)"
"Geography: Canada, Province or territory"

"","","Canada",,,,,,,,,,,,,,,
"","","Employment 3",,,,,,,,,,,,,,,
"Sex","Age group","January 2019","February 2019","March 2019","April 2019","May 2019","June 2019","July 2019","August 2019","September 2019","October 2019","November 2019","December 2019","January 2020","February 2020","March 2020","April 2020"
"",,"Persons",,,,,,,,,,,,,,,
,"25 to 44 years","4,002.9","4,026.8","3,983.7","4,035.1","4,047.1","4,061.2","3,940.9","3,931.7","4,035.2","4,060.6","4,072.1","4,088.3","4,059.9","4,069.1","3,871.0","3,521.0"
,"45 to 64 years","3,399.6","3,404.2","3,404.9","3,436.7","3,447.4","3,464.6","3,374.3","3,374.4","3,506.5","3,492.0","3,471.3","3,463.4","3,423.7","3,422.8","3,230.0","2,990.7"
,"45 years and over","3,768.8","3,783.1","3,780.9","3,802.0","3,822.4","3,816.9","3,707.0","3,716.7","3,863.1","3,854.5","3,814.0","3,817.8","3,776.7","3,773.1","3,552.5","3,288.1"
,"25 to 54 years","5,937.5","5,964.4","5,915.9","5,973.3","5,997.9","6,000.7","5,838.9","5,827.2","6,003.6","5,990.0","5,989.9","6,009.1","5,962.6","5,964.8","5,664.0","5,199.7"
,"55 years and over","1,834.2","1,845.6","1,848.7","1,863.8","1,871.6","1,877.4","1,809.0","1,821.1","1,894.7","1,925.1","1,896.3","1,897.1","1,874.0","1,877.4","1,759.5","1,609.4"
,"15 to 64 years","8,548.8","8,596.2","8,558.2","8,659.9","8,781.7","8,860.9","8,715.4","8,713.8","8,759.0","8,784.3","8,766.0","8,783.2","8,673.8","8,696.7","8,067.6","7,240.1"
,"15 to 19 years","389.1","401.4","394.8","412.5","443.6","464.1","532.8","509.2","421.7","418.1","402.4","416.7","405.7","410.5","310.1","218.1"
,"20 to 24 years","757.1","763.7","774.9","775.7","843.6","870.9","867.5","898.5","795.6","813.6","820.2","814.8","784.5","794.3","656.5","510.3"
,"25 to 29 years","1,022.8","1,026.1","1,011.8","1,031.4","1,041.8","1,041.7","1,028.4","1,022.0","1,029.3","1,036.9","1,029.1","1,055.2","1,023.7","1,024.5","957.8","839.6"
,"30 to 34 years","995.2","997.0","984.5","1,000.9","1,006.6","1,012.7","979.3","973.9","1,000.7","1,004.2","1,010.6","1,012.1","1,015.0","1,021.0","979.4","898.0"
