REF_DATE,GEO,DGUID,Components,Unit of measure,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2019-11,Canada,2016A000011124,"Fixed rate, funds advanced, residential mortgages, insured, from 1  to less than 3 years",Dollars,Dollars,81,millions,6,v122667727,1.4.1,1078,,,,0
2019-12,Canada,2016A000011124,"Fixed rate, funds advanced, residential mortgages, insured, from 1  to less than 3 years",Dollars,Dollars,81,millions,6,v122667727,1.4.1,939,,,,0
2020-01,Canada,2016A000011124,"Fixed rate, funds advanced, residential mortgages, insured, from 1  to less than 3 years",Dollars,Dollars,81,millions,6,v122667727,1.4.1,925,,,,0
2020-02,Canada,2016A000011124,"Fixed rate, funds advanced, residential mortgages, insured, from 1  to less than 3 years",Dollars,Dollars,81,millions,6,v122667727,1.4.1,1090,,,,0
2020-03,Canada,2016A000011124,"Fixed rate, funds advanced, residential mortgages, insured, from 1  to less than 3 years",Dollars,Dollars,81,millions,6,v122667727,1.4.1,905,,,,0
2019-01,Canada,2016A000011124,"Fixed rate, funds advanced, residential mortgages, insured, from 1  to less than 3 years",Interest rate,Percent,239,units,0,v122667778,1.4.2,3.62,,,,2
2019-02,Canada,2016A000011124,"Fixed rate, funds advanced, residential mortgages, insured, from 1  to less than 3 years",Interest rate,Percent,239,units,0,v122667778,1.4.2,3.58,,,,2
2019-03,Canada,2016A000011124,"Fixed rate, funds advanced, residential mortgages, insured, from 1  to less than 3 years",Interest rate,Percent,239,units,0,v122667778,1.4.2,3.54,,,,2
2019-04,Canada,2016A000011124,"Fixed rate, funds advanced, residential mortgages, insured, from 1  to less than 3 years",Interest rate,Percent,239,units,0,v122667778,1.4.2,3.33,,,,2
2019-05,Canada,2016A000011124,"Fixed rate, funds advanced, residential mortgages, insured, from 1  to less than 3 years",Interest rate,Percent,239,units,0,v122667778,1.4.2,3.27,,,,2
2019-06,Canada,2016A000011124,"Fixed rate, funds advanced, residential mortgages, insured, from 1  to less than 3 years",Interest rate,Percent,239,units,0,v122667778,1.4.2,3.36,,,,2
2019-07,Canada,2016A000011124,"Fixed rate, funds advanced, residential mortgages, insured, from 1  to less than 3 years",Interest rate,Percent,239,units,0,v122667778,1.4.2,3.34,,,,2
2019-08,Canada,2016A000011124,"Fixed rate, funds advanced, residential mortgages, insured, from 1  to less than 3 years",Interest rate,Percent,239,units,0,v122667778,1.4.2,3.31,,,,2
2019-09,Canada,2016A000011124,"Fixed rate, funds advanced, residential mortgages, insured, from 1  to less than 3 years",Interest rate,Percent,239,units,0,v122667778,1.4.2,3.25,,,,2
2019-10,Canada,2016A000011124,"Fixed rate, funds advanced, residential mortgages, insured, from 1  to less than 3 years",Interest rate,Percent,239,units,0,v122667778,1.4.2,3.23,,,,2
2019-11,Canada,2016A000011124,"Fixed rate, funds advanced, residential mortgages, insured, from 1  to less than 3 years",Interest rate,Percent,239,units,0,v122667778,1.4.2,3.32,,,,2
2019-12,Canada,2016A000011124,"Fixed rate, funds advanced, residential mortgages, insured, from 1  to less than 3 years",Interest rate,Percent,239,units,0,v122667778,1.4.2,3.40,,,,2
2020-01,Canada,2016A000011124,"Fixed rate, funds advanced, residential mortgages, insured, from 1  to less than 3 years",Interest rate,Percent,239,units,0,v122667778,1.4.2,3.40,,,,2
2020-02,Canada,2016A000011124,"Fixed rate, funds advanced, residential mortgages, insured, from 1  to less than 3 years",Interest rate,Percent,239,units,0,v122667778,1.4.2,3.36,,,,2
2020-03,Canada,2016A000011124,"Fixed rate, funds advanced, residential mortgages, insured, from 1  to less than 3 years",Interest rate,Percent,239,units,0,v122667778,1.4.2,3.39,,,,2
2019-01,Canada,2016A000011124,"Fixed rate, funds advanced, residential mortgages, insured, from 3 to less than 5 years",Dollars,Dollars,81,millions,6,v122667728,1.5.1,1099,,,,0
2019-02,Canada,2016A000011124,"Fixed rate, funds advanced, residential mortgages, insured, from 3 to less than 5 years",Dollars,Dollars,81,millions,6,v122667728,1.5.1,837,,,,0
2019-03,Canada,2016A000011124,"Fixed rate, funds advanced, residential mortgages, insured, from 3 to less than 5 years",Dollars,Dollars,81,millions,6,v122667728,1.5.1,1052,,,,0
2019-04,Canada,2016A000011124,"Fixed rate, funds advanced, residential mortgages, insured, from 3 to less than 5 years",Dollars,Dollars,81,millions,6,v122667728,1.5.1,1526,,,,0
2019-05,Canada,2016A000011124,"Fixed rate, funds advanced, residential mortgages, insured, from 3 to less than 5 years",Dollars,Dollars,81,millions,6,v122667728,1.5.1,2235,,,,0
2019-06,Canada,2016A000011124,"Fixed rate, funds advanced, residential mortgages, insured, from 3 to less than 5 years",Dollars,Dollars,81,millions,6,v122667728,1.5.1,3939,,,,0
2019-07,Canada,2016A000011124,"Fixed rate, funds advanced, residential mortgages, insured, from 3 to less than 5 years",Dollars,Dollars,81,millions,6,v122667728,1.5.1,3801,,,,0
2019-08,Canada,2016A000011124,"Fixed rate, funds advanced, residential mortgages, insured, from 3 to less than 5 years",Dollars,Dollars,81,millions,6,v122667728,1.5.1,3093,,,,0
2019-09,Canada,2016A000011124,"Fixed rate, funds advanced, residential mortgages, insured, from 3 to less than 5 years",Dollars,Dollars,81,millions,6,v122667728,1.5.1,2359,,,,0
2019-10,Canada,2016A000011124,"Fixed rate, funds advanced, residential mortgages, insured, from 3 to less than 5 years",Dollars,Dollars,81,millions,6,v122667728,1.5.1,2402,,,,0
2019-11,Canada,2016A000011124,"Fixed rate, funds advanced, residential mortgages, insured, from 3 to less than 5 years",Dollars,Dollars,81,millions,6,v122667728,1.5.1,2034,,,,0
2019-12,Canada,2016A000011124,"Fixed rate, funds advanced, residential mortgages, insured, from 3 to less than 5 years",Dollars,Dollars,81,millions,6,v122667728,1.5.1,1681,,,,0
2020-01,Canada,2016A000011124,"Fixed rate, funds advanced, residential mortgages, insured, from 3 to less than 5 years",Dollars,Dollars,81,millions,6,v122667728,1.5.1,1685,,,,0
2020-02,Canada,2016A000011124,"Fixed rate, funds advanced, residential mortgages, insured, from 3 to less than 5 years",Dollars,Dollars,81,millions,6,v122667728,1.5.1,1698,,,,0
2020-03,Canada,2016A000011124,"Fixed rate, funds advanced, residential mortgages, insured, from 3 to less than 5 years",Dollars,Dollars,81,millions,6,v122667728,1.5.1,2043,,,,0
2019-01,Canada,2016A000011124,"Fixed rate, funds advanced, residential mortgages, insured, from 3 to less than 5 years",Interest rate,Percent,239,units,0,v122667779,1.5.2,3.63,,,,2
2019-02,Canada,2016A000011124,"Fixed rate, funds advanced, residential mortgages, insured, from 3 to less than 5 years",Interest rate,Percent,239,units,0,v122667779,1.5.2,3.58,,,,2
2019-03,Canada,2016A000011124,"Fixed rate, funds advanced, residential mortgages, insured, from 3 to less than 5 years",Interest rate,Percent,239,units,0,v122667779,1.5.2,3.45,,,,2
2019-04,Canada,2016A000011124,"Fixed rate, funds advanced, residential mortgages, insured, from 3 to less than 5 years",Interest rate,Percent,239,units,0,v122667779,1.5.2,3.23,,,,2
2019-05,Canada,2016A000011124,"Fixed rate, funds advanced, residential mortgages, insured, from 3 to less than 5 years",Interest rate,Percent,239,units,0,v122667779,1.5.2,3.09,,,,2
2019-06,Canada,2016A000011124,"Fixed rate, funds advanced, residential mortgages, insured, from 3 to less than 5 years",Interest rate,Percent,239,units,0,v122667779,1.5.2,2.94,,,,2
2019-07,Canada,2016A000011124,"Fixed rate, funds advanced, residential mortgages, insured, from 3 to less than 5 years",Interest rate,Percent,239,units,0,v122667779,1.5.2,2.87,,,,2
2019-08,Canada,2016A000011124,"Fixed rate, funds advanced, residential mortgages, insured, from 3 to less than 5 years",Interest rate,Percent,239,units,0,v122667779,1.5.2,2.83,,,,2
2019-09,Canada,2016A000011124,"Fixed rate, funds advanced, residential mortgages, insured, from 3 to less than 5 years",Interest rate,Percent,239,units,0,v122667779,1.5.2,2.78,,,,2
2019-10,Canada,2016A000011124,"Fixed rate, funds advanced, residential mortgages, insured, from 3 to less than 5 years",Interest rate,Percent,239,units,0,v122667779,1.5.2,2.79,,,,2
2019-11,Canada,2016A000011124,"Fixed rate, funds advanced, residential mortgages, insured, from 3 to less than 5 years",Interest rate,Percent,239,units,0,v122667779,1.5.2,2.85,,,,2
2019-12,Canada,2016A000011124,"Fixed rate, funds advanced, residential mortgages, insured, from 3 to less than 5 years",Interest rate,Percent,239,units,0,v122667779,1.5.2,2.89,,,,2
2020-01,Canada,2016A000011124,"Fixed rate, funds advanced, residential mortgages, insured, from 3 to less than 5 years",Interest rate,Percent,239,units,0,v122667779,1.5.2,2.92,,,,2
