REF_DATE,GEO,DGUID,Financial market statistics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2019-06-12,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7403,,,,4
2019-06-13,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7471,,,,4
2019-06-14,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7468,,,,4
2019-06-15,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,0.0000,,,,4
2019-06-16,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,0.0000,,,,4
2019-06-17,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7429,,,,4
2019-06-18,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7387,,,,4
2019-06-19,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7412,,,,4
2019-06-20,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7445,,,,4
2019-06-21,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7462,,,,4
2019-06-22,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,0.0000,,,,4
2019-06-23,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,0.0000,,,,4
2019-06-24,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7462,,,,4
2019-06-25,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7363,,,,4
2019-06-26,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7349,,,,4
2019-06-27,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7401,,,,4
2019-06-28,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7346,,,,4
2019-06-29,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,0.0000,,,,4
2019-06-30,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,0.0000,,,,4
2019-07-01,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,,..,,,4
2019-07-02,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7461,,,,4
2019-07-03,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7468,,,,4
2019-07-04,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7486,,,,4
2019-07-05,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7469,,,,4
2019-07-06,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,0.0000,,,,4
2019-07-07,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,0.0000,,,,4
2019-07-08,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7441,,,,4
2019-07-09,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7454,,,,4
2019-07-10,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7449,,,,4
2019-07-11,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7437,,,,4
2019-07-12,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7445,,,,4
2019-07-13,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,0.0000,,,,4
2019-07-14,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,0.0000,,,,4
2019-07-15,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7440,,,,4
2019-07-16,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7490,,,,4
2019-07-17,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7475,,,,4
2019-07-18,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7475,,,,4
2019-07-19,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7482,,,,4
2019-07-20,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,0.0000,,,,4
2019-07-21,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,0.0000,,,,4
2019-07-22,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7477,,,,4
2019-07-23,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7472,,,,4
2019-07-24,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7453,,,,4
